No. Hidden Nodes,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01
50,8793.0,8986.0,8732.0,8985.0,9054.0,9075.0,9307.0,9348.0,9347.0,9361.0,9387.0,9317.0,9310.0,9363.0,9273.0,9283.0,9200.0,9127.0
100,8140.0,8679.0,8859.0,9119.0,9279.0,9371.0,9462.0,9487.0,9479.0,9528.0,9487.0,9528.0,9467.0,9441.0,9437.0,9411.0,9342.0,9218.0
150,8335.0,8614.0,8795.0,9231.0,9119.0,9465.0,9506.0,9528.0,9557.0,9537.0,9555.0,9548.0,9549.0,9523.0,9490.0,9430.0,9358.0,9271.0
200,8421.0,8985.0,8369.0,8882.0,9139.0,9294.0,9491.0,9592.0,9593.0,9596.0,9555.0,9538.0,9582.0,9538.0,9496.0,9472.0,9381.0,9208.0
250,8774.0,8551.0,8973.0,8998.0,9387.0,9417.0,9534.0,9573.0,9596.0,9603.0,9627.0,9592.0,9560.0,9537.0,9506.0,9478.0,9378.0,9266.0
300,8538.0,8868.0,9127.0,9032.0,9387.0,9337.0,9500.0,9585.0,9567.0,9603.0,9568.0,9574.0,9569.0,9563.0,9547.0,9503.0,9405.0,9257.0
350,8474.0,8846.0,8694.0,9067.0,9207.0,9491.0,9461.0,9617.0,9584.0,9620.0,9590.0,9561.0,9570.0,9569.0,9540.0,9506.0,9427.0,9250.0
400,8461.0,8481.0,8893.0,8840.0,9204.0,9336.0,9537.0,9574.0,9635.0,9593.0,9592.0,9600.0,9573.0,9592.0,9521.0,9500.0,9441.0,9271.0
450,8373.0,8178.0,8626.0,9088.0,9295.0,9518.0,9523.0,9590.0,9588.0,9606.0,9583.0,9584.0,9582.0,9526.0,9523.0,9508.0,9432.0,9261.0
500,8338.0,8490.0,8969.0,9200.0,9257.0,9477.0,9574.0,9612.0,9622.0,9608.0,9574.0,9622.0,9566.0,9589.0,9527.0,9507.0,9393.0,9264.0
550,8335.0,8711.0,8978.0,8557.0,9246.0,9332.0,9516.0,9600.0,9610.0,9611.0,9607.0,9580.0,9583.0,9551.0,9526.0,9484.0,9393.0,9257.0
600,8343.0,8845.0,8734.0,8761.0,9411.0,9405.0,9604.0,9530.0,9596.0,9580.0,9533.0,9563.0,9560.0,9560.0,9546.0,9484.0,9389.0,9231.0
650,8043.0,8607.0,8947.0,9070.0,9222.0,9507.0,9558.0,9605.0,9588.0,9580.0,9583.0,9584.0,9569.0,9587.0,9532.0,9479.0,9429.0,9195.0
700,7599.0,8490.0,8634.0,9071.0,9171.0,9429.0,9538.0,9628.0,9601.0,9631.0,9598.0,9573.0,9600.0,9564.0,9524.0,9494.0,9367.0,9173.0
750,8337.0,7884.0,8438.0,9182.0,9074.0,9465.0,9456.0,9613.0,9615.0,9585.0,9572.0,9574.0,9588.0,9557.0,9520.0,9471.0,9401.0,9163.0
800,8292.0,8309.0,8886.0,8878.0,9329.0,9486.0,9448.0,9545.0,9595.0,9598.0,9597.0,9577.0,9581.0,9555.0,9510.0,9502.0,9356.0,9167.0
850,7916.0,8858.0,8867.0,8715.0,9211.0,9508.0,9545.0,9591.0,9605.0,9611.0,9578.0,9591.0,9541.0,9529.0,9515.0,9455.0,9379.0,9131.0
900,8664.0,8693.0,8645.0,8654.0,9289.0,9368.0,9531.0,9577.0,9611.0,9576.0,9582.0,9592.0,9576.0,9549.0,9550.0,9461.0,9379.0,9104.0
950,8590.0,8659.0,8699.0,8992.0,9240.0,9402.0,9579.0,9598.0,9611.0,9596.0,9576.0,9604.0,9560.0,9551.0,9528.0,9480.0,9359.0,9146.0
