No. Hidden Nodes,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01
50,6441.0,5775.0,6598.0,5990.0,6775.0,7295.0,7155.0,7784.0,8202.0,8131.0,8196.0,8168.0,8323.0,8355.0,8315.0,8297.0,8309.0,8213.0
100,5640.0,6427.0,6896.0,5993.0,5467.0,6154.0,6761.0,7725.0,8258.0,8154.0,8304.0,8297.0,8331.0,8374.0,8318.0,8408.0,8340.0,8283.0
150,5813.0,5153.0,6715.0,6261.0,6844.0,6612.0,7422.0,7269.0,8130.0,8084.0,8315.0,8362.0,8463.0,8370.0,8409.0,8376.0,8340.0,8310.0
200,4807.0,5786.0,6571.0,6132.0,5449.0,7190.0,7465.0,7701.0,8359.0,8342.0,8399.0,8394.0,8387.0,8350.0,8379.0,8402.0,8379.0,8326.0
250,6292.0,5505.0,6772.0,6492.0,6450.0,6616.0,7157.0,7643.0,8216.0,8273.0,8400.0,8385.0,8405.0,8394.0,8437.0,8415.0,8373.0,8301.0
300,6194.0,4569.0,6385.0,6120.0,6205.0,6769.0,6762.0,7174.0,8257.0,8372.0,8393.0,8379.0,8408.0,8437.0,8430.0,8409.0,8397.0,8354.0
350,5247.0,6710.0,6672.0,5950.0,5964.0,7427.0,7269.0,7664.0,8277.0,8336.0,8368.0,8365.0,8403.0,8415.0,8404.0,8413.0,8396.0,8368.0
400,6004.0,5229.0,4960.0,6525.0,7266.0,6888.0,7137.0,7152.0,8309.0,8324.0,8393.0,8427.0,8406.0,8412.0,8439.0,8418.0,8392.0,8338.0
450,5972.0,6540.0,6486.0,6350.0,6979.0,6144.0,7319.0,7861.0,8259.0,8337.0,8423.0,8264.0,8432.0,8430.0,8412.0,8383.0,8375.0,8324.0
500,5875.0,6311.0,6461.0,5868.0,6188.0,7078.0,7188.0,7641.0,8307.0,8328.0,8365.0,8378.0,8339.0,8427.0,8358.0,8411.0,8389.0,8302.0
550,5127.0,5664.0,6704.0,6383.0,6236.0,6912.0,7318.0,7854.0,8250.0,8314.0,8212.0,8370.0,8389.0,8413.0,8385.0,8356.0,8381.0,8309.0
600,6100.0,6806.0,6808.0,5906.0,6867.0,6572.0,7247.0,7732.0,7962.0,8289.0,8358.0,8401.0,8407.0,8425.0,8421.0,8393.0,8367.0,8305.0
650,6005.0,6226.0,6035.0,6889.0,6644.0,6889.0,6237.0,7490.0,8280.0,8320.0,8342.0,8406.0,8368.0,8394.0,8386.0,8394.0,8375.0,8305.0
700,4729.0,6715.0,5227.0,6096.0,6791.0,6899.0,7272.0,7567.0,8330.0,8318.0,8328.0,8302.0,8370.0,8360.0,8382.0,8386.0,8347.0,8300.0
750,6870.0,4984.0,6762.0,6701.0,6749.0,6910.0,7216.0,7848.0,8353.0,8316.0,8405.0,8360.0,8372.0,8373.0,8329.0,8398.0,8349.0,8310.0
800,6855.0,6746.0,6113.0,6895.0,6080.0,6714.0,7227.0,7722.0,8231.0,8180.0,8352.0,8324.0,8425.0,8438.0,8355.0,8393.0,8326.0,8314.0
850,6008.0,6560.0,7046.0,6930.0,6096.0,6893.0,7061.0,7574.0,8266.0,8285.0,8262.0,8343.0,8405.0,8360.0,8366.0,8346.0,8331.0,8283.0
900,5663.0,7031.0,5808.0,6668.0,6759.0,6847.0,6957.0,7695.0,8342.0,8242.0,8294.0,8333.0,8394.0,8388.0,8387.0,8399.0,8340.0,8298.0
950,4988.0,6601.0,4095.0,6140.0,6384.0,6858.0,7179.0,7535.0,8301.0,8348.0,8281.0,8362.0,8376.0,8436.0,8412.0,8403.0,8353.0,8266.0
